Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,month
Abbotsford,1,u,481000.0,SP,Purplebricks,2016-10-12,2.5,1,1,477.8968565815324,Yarra City Council,,,Northern Metropolitan,4019.0,10
Abbotsford,2,u,700000.0,VB,Jellis,2016-12-11,2.5,2,1,0.0,Yarra City Council,-37.811,145.0067,Northern Metropolitan,4019.0,12
Abbotsford,3,h,1350000.0,VB,Nelson,2016-12-11,2.5,2,2,214.0,Yarra City Council,-37.8085,144.9964,Northern Metropolitan,4019.0,12
Abbotsford,2,u,750000.0,S,Biggin,2016-12-11,2.5,2,1,0.0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,12
Abbotsford,4,h,1985000.0,S,Biggin,2016-12-11,2.5,2,2,648.7162568807339,Yarra City Council,-37.8084,144.9942,Northern Metropolitan,4019.0,12
Abbotsford,1,u,500000.0,S,Biggin,2016-12-11,2.5,1,1,477.8968565815324,Yarra City Council,,,Northern Metropolitan,4019.0,12
Abbotsford,2,h,1172500.0,S,Biggin,2016-08-13,2.5,1,1,195.0,Yarra City Council,-37.8084,144.9973,Northern Metropolitan,4019.0,8
Abbotsford,1,u,441000.0,SP,Greg,2016-05-14,2.5,1,1,0.0,Yarra City Council,-37.8016,144.9988,Northern Metropolitan,4019.0,5
Abbotsford,2,h,1310000.0,S,Jellis,2016-10-15,2.5,1,2,238.0,Yarra City Council,-37.809,144.9976,Northern Metropolitan,4019.0,10
Abbotsford,3,h,1200000.0,S,Jellis,2016-07-16,2.5,2,1,113.0,Yarra City Council,-37.8056,144.993,Northern Metropolitan,4019.0,7
Abbotsford,2,t,847000.0,S,Jellis,2016-07-16,2.5,1,2,286.92402148887186,Yarra City Council,,,Northern Metropolitan,4019.0,7
Abbotsford,3,h,1176500.0,S,LITTLE,2016-07-16,2.5,1,1,138.0,Yarra City Council,-37.8021,144.9965,Northern Metropolitan,4019.0,7
Abbotsford,3,h,955000.0,S,Collins,2016-09-17,2.5,1,0,183.0,Yarra City Council,-37.8022,144.9975,Northern Metropolitan,4019.0,9
Abbotsford,2,h,890000.0,S,Biggin,2016-09-17,2.5,1,1,150.0,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019.0,9
Abbotsford,4,h,1330000.0,PI,Kay,2017-03-18,2.5,2,2,780.0,Yarra City Council,-37.8073,144.9952,Northern Metropolitan,4019.0,3
Abbotsford,3,t,900000.0,S,Beller,2017-03-18,2.5,2,2,0.0,Yarra City Council,-37.8093,144.9959,Northern Metropolitan,4019.0,3
Abbotsford,3,u,1090000.0,S,Jellis,2017-03-18,2.5,2,2,4290.0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,3
Abbotsford,2,u,500000.0,S,Collins,2016-06-18,2.5,1,1,0.0,Yarra City Council,-37.8015,144.9972,Northern Metropolitan,4019.0,6
Abbotsford,2,h,1100000.0,PI,Biggin,2016-06-18,2.5,2,1,124.0,Yarra City Council,-37.8079,144.9977,Northern Metropolitan,4019.0,6
Abbotsford,2,h,1315000.0,S,Marshall,2016-11-19,2.5,1,0,147.0,Yarra City Council,-37.808,144.994,Northern Metropolitan,4019.0,11
Abbotsford,1,u,480000.0,S,Biggin,2016-11-19,2.5,1,1,477.8968565815324,Yarra City Council,,,Northern Metropolitan,4019.0,11
Abbotsford,1,u,423500.0,S,hockingstuart,2016-05-22,2.5,1,1,477.8968565815324,Yarra City Council,,,Northern Metropolitan,4019.0,5
Abbotsford,1,u,426000.0,SP,Greg,2016-08-22,2.5,1,1,0.0,Yarra City Council,-37.8016,144.9988,Northern Metropolitan,4019.0,8
Abbotsford,3,h,1447500.0,PI,Nelson,2016-08-22,2.5,3,1,166.0,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,4019.0,8
Abbotsford,1,u,457000.0,S,Jellis,2016-08-22,2.5,1,1,0.0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,8
Abbotsford,2,h,1135000.0,S,Nelson,2016-08-22,2.5,2,2,98.0,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,4019.0,8
Abbotsford,2,h,700000.0,S,Biggin,2016-04-23,2.5,1,2,648.7162568807339,Yarra City Council,,,Northern Metropolitan,4019.0,4
Abbotsford,4,h,1542000.0,S,Collins,2016-09-24,2.5,3,1,0.0,Yarra City Council,-37.7994,144.9965,Northern Metropolitan,4019.0,9
Abbotsford,3,t,962000.0,SP,Jellis,2017-02-25,2.5,1,2,286.92402148887186,Yarra City Council,-37.7972,144.9969,Northern Metropolitan,4019.0,2
Abbotsford,3,h,1290000.0,S,Biggin,2017-02-25,2.5,2,2,147.0,Yarra City Council,-37.805,144.9943,Northern Metropolitan,4019.0,2
Abbotsford,3,h,1290000.0,S,Biggin,2017-02-25,2.5,1,1,168.0,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019.0,2
Abbotsford,1,u,470000.0,S,Nelson,2016-07-26,2.5,1,1,0.0,Yarra City Council,-37.8055,144.9961,Northern Metropolitan,4019.0,7
Abbotsford,2,h,1180000.0,S,Jellis,2016-11-27,2.5,1,0,162.0,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,4019.0,11
Abbotsford,3,h,1195000.0,SP,Jellis,2016-11-27,2.5,2,1,120.0,Yarra City Council,-37.8022,144.9954,Northern Metropolitan,4019.0,11
Abbotsford,2,h,1012500.0,S,Nelson,2016-05-28,2.5,1,0,182.0,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019.0,5
Abbotsford,2,u,970000.0,SP,Biggin,2016-05-28,2.5,1,1,477.8968565815324,Yarra City Council,,,Northern Metropolitan,4019.0,5
Abbotsford,2,h,1030000.0,S,Biggin,2016-07-30,2.5,1,1,172.0,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,4019.0,7
Abbotsford,3,h,927000.0,S,Biggin,2016-07-30,2.5,1,2,648.7162568807339,Yarra City Council,,,Northern Metropolitan,4019.0,7
Airport West,3,t,840000.0,PI,Nelson,2016-03-09,13.5,2,1,303.0,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3464.0,3
Airport West,3,h,730000.0,VB,Nelson,2016-03-12,13.5,2,1,0.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0,3
Airport West,3,h,770000.0,SP,Nelson,2017-04-03,13.5,2,1,0.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0,4
Airport West,2,h,603000.0,S,Nelson,2017-04-03,13.5,1,1,272.0,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan,3464.0,4
Airport West,3,t,700000.0,S,Brad,2017-04-03,13.5,2,2,239.0,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,3464.0,4
Airport West,3,h,600000.0,S,Maddison,2017-04-03,13.5,1,1,290.0,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,3464.0,4
Airport West,2,u,500000.0,VB,Barry,2017-04-03,13.5,1,1,168.0,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan,3464.0,4
Airport West,2,t,420000.0,VB,Barry,2016-04-06,13.5,1,2,286.92402148887186,Moonee Valley City Council,,,Western Metropolitan,3464.0,4
Airport West,3,t,500000.0,VB,Nelson,2016-04-06,13.5,1,2,286.92402148887186,Moonee Valley City Council,,,Western Metropolitan,3464.0,4
Airport West,5,h,1035000.0,S,Airport,2016-06-08,13.5,3,2,648.7162568807339,Moonee Valley City Council,,,Western Metropolitan,3464.0,6
Airport West,4,h,960000.0,S,Barry,2016-06-08,13.5,2,2,648.7162568807339,Moonee Valley City Council,,,Western Metropolitan,3464.0,6
Airport West,4,h,960000.0,S,Nelson,2016-06-08,13.5,2,2,648.7162568807339,Moonee Valley City Council,,,Western Metropolitan,3464.0,6
Airport West,3,h,720000.0,S,Barry,2016-06-08,13.5,1,1,620.0,Moonee Valley City Council,-37.7173,144.8872,Western Metropolitan,3464.0,6
Airport West,4,h,785000.0,S,Considine,2016-06-08,13.5,1,2,597.0,Moonee Valley City Council,-37.7259,144.8792,Western Metropolitan,3464.0,6
Airport West,6,h,725000.0,SP,Barry,2016-07-05,13.5,3,2,976.0,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan,3464.0,7
Airport West,2,t,450000.0,S,Barry,2016-07-05,13.5,1,1,110.0,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan,3464.0,7
Airport West,2,u,515000.0,S,Barry,2016-07-11,13.5,1,1,141.0,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan,3464.0,7
Airport West,3,h,680000.0,VB,Nelson,2016-08-10,13.5,1,2,648.7162568807339,Moonee Valley City Council,,,Western Metropolitan,3464.0,8
Airport West,2,u,530000.0,S,Nelson,2016-10-09,13.5,1,1,120.0,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan,3464.0,10
Airport West,3,h,895000.0,PI,Rendina,2016-10-09,13.5,1,6,1063.0,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan,3464.0,10
Airport West,3,u,600000.0,VB,Nelson,2016-10-09,13.5,1,1,477.8968565815324,Moonee Valley City Council,,,Western Metropolitan,3464.0,10
Airport West,3,h,805000.0,S,Nelson,2016-10-12,13.5,1,1,0.0,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan,3464.0,10
Airport West,3,t,760000.0,PI,Barry,2016-10-12,13.5,1,2,286.92402148887186,Moonee Valley City Council,,,Western Metropolitan,3464.0,10
Airport West,3,u,752000.0,S,Nelson,2017-11-02,13.5,1,1,265.0,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan,3464.0,11
Airport West,3,u,580000.0,VB,Nelson,2016-12-11,13.5,1,1,477.8968565815324,Moonee Valley City Council,,,Western Metropolitan,3464.0,12
Airport West,3,h,725000.0,PI,Ray,2016-12-11,13.5,1,2,648.7162568807339,Moonee Valley City Council,,,Western Metropolitan,3464.0,12
Airport West,4,h,758000.0,S,Jellis,2016-08-13,13.5,2,2,648.7162568807339,Moonee Valley City Council,,,Western Metropolitan,3464.0,8
Airport West,2,u,440000.0,S,Barry,2016-08-13,13.5,1,1,192.0,Moonee Valley City Council,-37.7177,144.8787,Western Metropolitan,3464.0,8
Airport West,3,h,970000.0,S,Barry,2016-05-14,13.5,1,2,648.7162568807339,Moonee Valley City Council,,,Western Metropolitan,3464.0,5
Airport West,5,h,755000.0,PI,Propertyau,2016-05-14,13.5,2,2,596.0,Moonee Valley City Council,-37.7248,144.8699,Western Metropolitan,3464.0,5
Airport West,4,h,985000.0,S,Barry,2016-10-15,13.5,2,2,648.7162568807339,Moonee Valley City Council,,,Western Metropolitan,3464.0,10
Airport West,3,t,700000.0,PI,Brad,2016-10-15,13.5,2,2,165.0,Moonee Valley City Council,-37.727,144.887,Western Metropolitan,3464.0,10
Airport West,2,u,509500.0,SP,Nelson,2016-10-15,13.5,1,1,477.8968565815324,Moonee Valley City Council,,,Western Metropolitan,3464.0,10
Airport West,3,h,830000.0,S,Barry,2016-04-16,13.5,1,2,971.0,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464.0,4
Airport West,2,u,462500.0,S,Barry,2016-07-16,13.5,1,1,164.0,Moonee Valley City Council,-37.7218,144.8863,Western Metropolitan,3464.0,7
Airport West,3,h,670000.0,SP,Barry,2016-07-16,13.5,2,2,657.0,Moonee Valley City Council,-37.7269,144.8742,Western Metropolitan,3464.0,7
Airport West,2,h,675000.0,S,Barry,2016-07-16,13.5,1,1,612.0,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan,3464.0,7
Airport West,3,h,1042000.0,S,Nelson,2016-07-16,13.5,2,5,612.0,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,3464.0,7
Airport West,3,h,910000.0,S,McDonald,2016-09-17,13.5,1,1,775.0,Moonee Valley City Council,-37.7231,144.8835,Western Metropolitan,3464.0,9
Airport West,4,h,773000.0,S,Brad,2016-09-17,13.5,3,4,531.0,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464.0,9
Airport West,3,h,715000.0,S,Barry,2016-09-17,13.5,1,2,648.7162568807339,Moonee Valley City Council,,,Western Metropolitan,3464.0,9
Airport West,3,h,810000.0,PI,Barry,2017-03-18,13.5,3,2,555.0,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,3464.0,3
Airport West,3,h,715000.0,S,Rendina,2017-03-18,13.5,2,2,422.0,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan,3464.0,3
Airport West,3,h,790000.0,S,Nelson,2017-03-18,13.5,1,3,614.0,Moonee Valley City Council,-37.7194,144.8827,Western Metropolitan,3464.0,3
Airport West,2,t,460000.0,VB,Nelson,2016-06-18,13.5,1,2,286.92402148887186,Moonee Valley City Council,,,Western Metropolitan,3464.0,6
Airport West,3,t,540000.0,SP,Nelson,2016-06-18,13.5,2,1,161.0,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan,3464.0,6
Airport West,3,t,825000.0,SP,Barry,2016-11-19,13.5,2,1,293.0,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan,3464.0,11
Airport West,3,h,685000.0,S,Barry,2016-05-22,13.5,1,1,579.0,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464.0,5
Airport West,3,u,445000.0,S,Brad,2016-05-22,13.5,1,1,477.8968565815324,Moonee Valley City Council,,,Western Metropolitan,3464.0,5
Airport West,3,h,805000.0,S,Barry,2016-08-22,13.5,1,1,623.0,Moonee Valley City Council,-37.7184,144.882,Western Metropolitan,3464.0,8
Airport West,2,u,510000.0,S,Nelson,2016-08-22,13.5,1,1,141.0,Moonee Valley City Council,-37.7202,144.8797,Western Metropolitan,3464.0,8
Airport West,3,h,612000.0,S,Nelson,2016-08-22,13.5,2,1,212.0,Moonee Valley City Council,-37.7181,144.8824,Western Metropolitan,3464.0,8
Airport West,3,h,662000.0,S,Brad,2016-04-23,13.5,1,2,612.0,Moonee Valley City Council,-37.7169,144.8815,Western Metropolitan,3464.0,4
Airport West,4,h,978000.0,S,Nelson,2016-09-24,13.5,3,2,532.0,Moonee Valley City Council,-37.7263,144.869,Western Metropolitan,3464.0,9
Airport West,3,h,720000.0,PI,Nelson,2017-02-25,13.5,1,1,585.0,Moonee Valley City Council,-37.72,144.878,Western Metropolitan,3464.0,2
Airport West,2,u,474000.0,PI,Barry,2016-07-26,13.5,1,1,477.8968565815324,Moonee Valley City Council,,,Western Metropolitan,3464.0,7
Airport West,2,t,490000.0,SP,Frank,2016-07-26,13.5,1,2,286.92402148887186,Moonee Valley City Council,,,Western Metropolitan,3464.0,7
Airport West,3,h,405000.0,S,Ray,2016-06-27,13.5,1,2,648.7162568807339,Moonee Valley City Council,,,Western Metropolitan,3464.0,6
Airport West,3,t,715000.0,S,Barry,2016-11-27,13.5,1,2,286.92402148887186,Moonee Valley City Council,,,Western Metropolitan,3464.0,11
Airport West,3,u,671500.0,S,McDonald,2016-11-27,13.5,1,1,477.8968565815324,Moonee Valley City Council,,,Western Metropolitan,3464.0,11
Airport West,4,h,765000.0,S,Prof.,2016-11-27,13.5,1,2,509.0,Moonee Valley City Council,-37.7261,144.8785,Western Metropolitan,3464.0,11
Airport West,4,h,900000.0,S,Harcourts,2016-11-27,13.5,2,3,628.0,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,3464.0,11
Airport West,3,u,820000.0,S,Nelson,2016-08-28,13.5,1,1,477.8968565815324,Moonee Valley City Council,,,Western Metropolitan,3464.0,8
Airport West,3,u,650000.0,PI,Nelson,2016-07-30,13.5,1,1,477.8968565815324,Moonee Valley City Council,,,Western Metropolitan,3464.0,7
Airport West,3,t,552000.0,SP,Nelson,2016-07-30,13.5,1,2,286.92402148887186,Moonee Valley City Council,,,Western Metropolitan,3464.0,7
Albert Park,2,h,1275000.0,S,hockingstuart,2016-03-09,3.3,1,0,120.0,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3280.0,3
Albert Park,2,h,1455000.0,S,Thomson,2016-03-09,3.3,1,0,159.0,Port Phillip City Council,-37.845,144.9538,Southern Metropolitan,3280.0,3
Albert Park,3,h,2850000.0,PI,Buxton,2017-04-03,3.3,2,0,211.0,Port Phillip City Council,-37.8481,144.9499,Southern Metropolitan,3280.0,4
Albert Park,3,h,1850000.0,S,Greg,2017-04-03,3.3,2,0,128.0,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan,3280.0,4
Albert Park,2,h,1436000.0,S,RT,2017-04-03,3.3,1,0,130.0,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan,3280.0,4
Albert Park,2,h,1110000.0,S,Marshall,2016-06-08,3.3,1,0,147.0,Port Phillip City Council,-37.8444,144.9484,Southern Metropolitan,3280.0,6
Albert Park,2,h,1550000.0,S,Sotheby's,2016-07-05,3.3,1,1,167.0,Port Phillip City Council,-37.8405,144.9521,Southern Metropolitan,3280.0,7
Albert Park,4,h,2300000.0,S,Marshall,2016-07-05,3.3,2,1,153.0,Port Phillip City Council,-37.8447,144.9523,Southern Metropolitan,3280.0,7
Albert Park,3,t,1550000.0,VB,Marshall,2016-07-11,3.3,2,2,718.0,Port Phillip City Council,-37.8443,144.9598,Southern Metropolitan,3280.0,7
Albert Park,3,h,1800000.0,VB,Greg,2016-07-11,3.3,2,1,132.0,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan,3280.0,7
Albert Park,3,h,2485000.0,S,Cayzer,2016-08-10,3.3,1,2,648.7162568807339,Port Phillip City Council,,,Southern Metropolitan,3280.0,8
Albert Park,2,h,2120000.0,S,Greg,2016-10-09,3.3,1,1,199.0,Port Phillip City Council,-37.8422,144.9554,Southern Metropolitan,3280.0,10
Albert Park,3,h,1800000.0,VB,Cayzer,2016-10-09,3.3,1,1,253.0,Port Phillip City Council,-37.8443,144.9579,Southern Metropolitan,3280.0,10
Albert Park,3,h,1800000.0,S,Marshall,2016-10-09,3.3,2,1,90.0,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan,3280.0,10
Albert Park,2,h,1810000.0,PI,Greg,2016-10-12,3.3,1,0,240.0,Port Phillip City Council,-37.8379,144.9539,Southern Metropolitan,3280.0,10
Albert Park,3,h,2615000.0,S,Cayzer,2016-10-12,3.3,2,1,177.0,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280.0,10
Albert Park,5,h,2100000.0,S,Greg,2016-10-12,3.3,2,1,237.0,Port Phillip City Council,-37.8436,144.9557,Southern Metropolitan,3280.0,10
Albert Park,3,h,1300000.0,S,hockingstuart,2016-10-12,3.3,1,0,129.0,Port Phillip City Council,-37.8422,144.94899999999998,Southern Metropolitan,3280.0,10
Albert Park,3,h,1370000.0,S,Greg,2016-12-06,3.3,2,2,0.0,Port Phillip City Council,-37.8451,144.9511,Southern Metropolitan,3280.0,12
Albert Park,2,h,1000000.0,S,Cayzer,2016-12-11,3.3,1,0,288.0,Port Phillip City Council,-37.8407,144.9523,Southern Metropolitan,3280.0,12
Albert Park,3,h,2575000.0,S,Greg,2016-10-15,3.3,2,1,228.0,Port Phillip City Council,-37.8445,144.9501,Southern Metropolitan,3280.0,10
Albert Park,2,h,1322500.0,S,Greg,2016-10-15,3.3,1,0,149.0,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan,3280.0,10
Albert Park,2,h,1562500.0,S,Greg,2016-10-15,3.3,1,0,141.0,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan,3280.0,10
Albert Park,3,h,2000000.0,VB,RT,2016-04-16,3.3,2,1,211.0,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan,3280.0,4
Albert Park,3,h,1900000.0,S,Greg,2017-03-18,3.3,1,0,209.0,Port Phillip City Council,-37.8468,144.9546,Southern Metropolitan,3280.0,3
Albert Park,3,h,3010000.0,S,Greg,2017-03-18,3.3,2,0,147.0,Port Phillip City Council,-37.8473,144.9551,Southern Metropolitan,3280.0,3
Albert Park,4,h,2800000.0,VB,Cayzer,2016-06-18,3.3,3,1,327.0,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan,3280.0,6
Albert Park,2,u,647000.0,S,Greg,2016-05-22,3.3,1,1,0.0,Port Phillip City Council,-37.846,144.9542,Southern Metropolitan,3280.0,5
Albert Park,3,h,2100000.0,SP,Marshall,2016-04-23,3.3,1,1,120.0,Port Phillip City Council,-37.8427,144.9546,Southern Metropolitan,3280.0,4
Albert Park,3,h,2000000.0,PI,Marshall,2016-09-24,3.3,1,1,238.0,Port Phillip City Council,-37.8461,144.9528,Southern Metropolitan,3280.0,9
Albert Park,1,u,442500.0,S,Marshall,2017-02-25,3.3,1,0,0.0,Port Phillip City Council,-37.8421,144.9517,Southern Metropolitan,3280.0,2
Albert Park,4,h,4735000.0,S,Marshall,2017-02-25,3.3,2,1,330.0,Port Phillip City Council,-37.8477,144.9558,Southern Metropolitan,3280.0,2
Albert Park,2,h,1340000.0,S,Greg,2017-02-25,3.3,1,0,136.0,Port Phillip City Council,-37.846,144.9517,Southern Metropolitan,3280.0,2
Albert Park,3,h,1801000.0,S,hockingstuart,2017-02-25,3.3,1,1,202.0,Port Phillip City Council,-37.8429,144.9493,Southern Metropolitan,3280.0,2
Albert Park,3,h,1532000.0,S,Chisholm,2016-07-26,3.3,3,1,0.0,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280.0,7
Albert Park,3,h,3755000.0,S,Greg,2016-07-26,3.3,2,2,325.0,Port Phillip City Council,-37.8413,144.95,Southern Metropolitan,3280.0,7
Albert Park,4,h,2140000.0,S,Greg,2016-06-27,3.3,2,1,183.0,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan,3280.0,6
Albert Park,2,u,1810000.0,PI,Marshall,2016-06-27,3.3,1,1,477.8968565815324,Port Phillip City Council,,,Southern Metropolitan,3280.0,6
Albert Park,2,h,1750000.0,S,Marshall,2016-11-27,3.3,1,1,162.0,Port Phillip City Council,-37.8416,144.9488,Southern Metropolitan,3280.0,11
Albert Park,2,h,980000.0,S,Greg,2016-05-28,3.3,1,0,79.0,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan,3280.0,5
Albert Park,3,h,2030000.0,S,hockingstuart,2016-08-28,3.3,2,0,152.0,Port Phillip City Council,-37.8488,144.9551,Southern Metropolitan,3280.0,8
Albert Park,3,h,1740000.0,PI,Marshall,2016-08-28,3.3,2,2,147.0,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan,3280.0,8
Albert Park,3,h,2800000.0,VB,Buxton,2016-07-30,3.3,3,1,0.0,Port Phillip City Council,-37.8399,144.9577,Southern Metropolitan,3280.0,7
Albert Park,1,h,985000.0,S,Marshall,2016-07-30,3.3,1,0,81.0,Port Phillip City Council,-37.8411,144.9497,Southern Metropolitan,3280.0,7
Alphington,4,h,2000000.0,S,Brace,2016-03-09,6.4,2,4,853.0,Darebin City Council,-37.7707,145.0318,Northern Metropolitan,2211.0,3
Alphington,3,h,1110000.0,S,Jellis,2016-03-09,6.4,2,2,208.0,Darebin City Council,-37.7854,145.0325,Northern Metropolitan,2211.0,3
Alphington,3,h,1492000.0,S,Jellis,2017-04-03,6.4,2,2,411.0,Darebin City Council,-37.7713,145.0279,Northern Metropolitan,2211.0,4
Alphington,2,u,480000.0,PI,Miles,2016-07-05,6.4,1,1,477.8968565815324,Darebin City Council,,,Northern Metropolitan,2211.0,7
Alphington,3,t,1304000.0,SP,Holland,2016-08-10,6.4,1,2,286.92402148887186,Darebin City Council,,,Northern Metropolitan,2211.0,8
Alphington,4,h,1717500.0,S,Collins,2016-08-10,6.4,2,1,599.0,Darebin City Council,-37.7717,145.031,Northern Metropolitan,2211.0,8
Alphington,5,h,2840000.0,S,Nelson,2016-12-06,6.4,4,4,809.0,Darebin City Council,-37.775,145.0268,Northern Metropolitan,2211.0,12
Alphington,2,u,525500.0,S,Miles,2016-12-11,6.4,1,1,88.0,Darebin City Council,-37.7791,145.0306,Northern Metropolitan,2211.0,12
Alphington,2,t,805000.0,S,Miles,2016-12-11,6.4,2,3,155.0,Darebin City Council,-37.7804,145.0308,Northern Metropolitan,2211.0,12
Alphington,2,u,465000.0,S,McGrath,2016-12-11,6.4,1,1,0.0,Darebin City Council,-37.7773,145.0314,Northern Metropolitan,2211.0,12
Alphington,3,h,1480000.0,S,Nelson,2016-08-13,6.4,1,2,648.7162568807339,Darebin City Council,,,Northern Metropolitan,2211.0,8
Alphington,3,h,2000000.0,PI,hockingstuart,2016-10-15,6.4,3,2,686.0,Darebin City Council,-37.78,145.0341,Northern Metropolitan,2211.0,10
Alphington,3,h,1540000.0,S,Nelson,2016-04-16,6.4,1,2,592.0,Darebin City Council,-37.7755,145.0288,Northern Metropolitan,2211.0,4
Alphington,2,u,590000.0,PI,Nelson,2016-09-17,6.4,1,1,477.8968565815324,Darebin City Council,,,Northern Metropolitan,2211.0,9
Alphington,2,u,820000.0,S,Nelson,2017-03-18,6.4,1,1,183.0,Darebin City Council,-37.7747,145.0264,Northern Metropolitan,2211.0,3
Alphington,4,h,1830000.0,S,Nelson,2016-11-19,6.4,2,2,606.0,Darebin City Council,-37.7743,145.0316,Northern Metropolitan,2211.0,11
Alphington,4,h,2100000.0,S,Nelson,2016-11-19,6.4,2,2,575.0,Darebin City Council,-37.7723,145.0319,Northern Metropolitan,2211.0,11
Alphington,3,h,865000.0,SP,hockingstuart,2016-05-22,6.4,1,1,180.0,Darebin City Council,-37.7802,145.0243,Northern Metropolitan,2211.0,5
