Suburb,Rooms,Type,Method,SellerG,Distance,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount,month
Abbotsford,3,t,S,Beller,2.5,2,2,0.0,Yarra City Council,Northern Metropolitan,4019.0,3
Abbotsford,3,u,S,Jellis,2.5,2,2,4290.0,Yarra City Council,Northern Metropolitan,4019.0,3
Abbotsford,2,u,S,Collins,2.5,1,1,0.0,Yarra City Council,Northern Metropolitan,4019.0,6
Abbotsford,2,h,PI,Biggin,2.5,2,1,124.0,Yarra City Council,Northern Metropolitan,4019.0,6
Abbotsford,2,h,S,Marshall,2.5,1,0,147.0,Yarra City Council,Northern Metropolitan,4019.0,11
Abbotsford,1,u,S,Biggin,2.5,1,1,477.89685658153235,Yarra City Council,Northern Metropolitan,4019.0,11
Abbotsford,1,u,S,hockingstuart,2.5,1,1,477.89685658153235,Yarra City Council,Northern Metropolitan,4019.0,5
Abbotsford,1,u,SP,Greg,2.5,1,1,0.0,Yarra City Council,Northern Metropolitan,4019.0,8
Abbotsford,3,h,PI,Nelson,2.5,3,1,166.0,Yarra City Council,Northern Metropolitan,4019.0,8
Abbotsford,1,u,S,Jellis,2.5,1,1,0.0,Yarra City Council,Northern Metropolitan,4019.0,8
Abbotsford,2,h,S,Nelson,2.5,2,2,98.0,Yarra City Council,Northern Metropolitan,4019.0,8
Abbotsford,2,h,S,Biggin,2.5,1,2,648.7162568807339,Yarra City Council,Northern Metropolitan,4019.0,4
Abbotsford,4,h,S,Collins,2.5,3,1,0.0,Yarra City Council,Northern Metropolitan,4019.0,9
Abbotsford,3,t,SP,Jellis,2.5,1,2,286.9240214888718,Yarra City Council,Northern Metropolitan,4019.0,2
Abbotsford,3,h,S,Biggin,2.5,2,2,147.0,Yarra City Council,Northern Metropolitan,4019.0,2
Abbotsford,3,h,S,Biggin,2.5,1,1,168.0,Yarra City Council,Northern Metropolitan,4019.0,2
Abbotsford,1,u,S,Nelson,2.5,1,1,0.0,Yarra City Council,Northern Metropolitan,4019.0,7
Abbotsford,2,h,S,Jellis,2.5,1,0,162.0,Yarra City Council,Northern Metropolitan,4019.0,11
Abbotsford,3,h,SP,Jellis,2.5,2,1,120.0,Yarra City Council,Northern Metropolitan,4019.0,11
Abbotsford,2,h,S,Nelson,2.5,1,0,182.0,Yarra City Council,Northern Metropolitan,4019.0,5
Abbotsford,2,u,SP,Biggin,2.5,1,1,477.89685658153235,Yarra City Council,Northern Metropolitan,4019.0,5
Abbotsford,2,h,S,Biggin,2.5,1,1,172.0,Yarra City Council,Northern Metropolitan,4019.0,7
Abbotsford,3,h,S,Biggin,2.5,1,2,648.7162568807339,Yarra City Council,Northern Metropolitan,4019.0,7
Airport West,3,t,PI,Nelson,13.5,2,1,303.0,Moonee Valley City Council,Western Metropolitan,3464.0,3
Airport West,3,h,VB,Nelson,13.5,2,1,0.0,Moonee Valley City Council,Western Metropolitan,3464.0,3
Airport West,3,h,SP,Nelson,13.5,2,1,0.0,Moonee Valley City Council,Western Metropolitan,3464.0,4
Airport West,2,h,S,Nelson,13.5,1,1,272.0,Moonee Valley City Council,Western Metropolitan,3464.0,4
Airport West,3,t,S,Brad,13.5,2,2,239.0,Moonee Valley City Council,Western Metropolitan,3464.0,4
Airport West,3,h,S,Maddison,13.5,1,1,290.0,Moonee Valley City Council,Western Metropolitan,3464.0,4
Airport West,2,u,VB,Barry,13.5,1,1,168.0,Moonee Valley City Council,Western Metropolitan,3464.0,4
Airport West,2,t,VB,Barry,13.5,1,2,286.9240214888718,Moonee Valley City Council,Western Metropolitan,3464.0,4
Airport West,3,t,VB,Nelson,13.5,1,2,286.9240214888718,Moonee Valley City Council,Western Metropolitan,3464.0,4
Airport West,5,h,S,Airport,13.5,3,2,648.7162568807339,Moonee Valley City Council,Western Metropolitan,3464.0,6
Airport West,4,h,S,Barry,13.5,2,2,648.7162568807339,Moonee Valley City Council,Western Metropolitan,3464.0,6
Airport West,4,h,S,Nelson,13.5,2,2,648.7162568807339,Moonee Valley City Council,Western Metropolitan,3464.0,6
Airport West,3,h,S,Barry,13.5,1,1,620.0,Moonee Valley City Council,Western Metropolitan,3464.0,6
Airport West,4,h,S,Considine,13.5,1,2,597.0,Moonee Valley City Council,Western Metropolitan,3464.0,6
Airport West,6,h,SP,Barry,13.5,3,2,976.0,Moonee Valley City Council,Western Metropolitan,3464.0,7
Airport West,2,t,S,Barry,13.5,1,1,110.0,Moonee Valley City Council,Western Metropolitan,3464.0,7
Airport West,2,u,S,Barry,13.5,1,1,141.0,Moonee Valley City Council,Western Metropolitan,3464.0,7
Airport West,3,h,VB,Nelson,13.5,1,2,648.7162568807339,Moonee Valley City Council,Western Metropolitan,3464.0,8
Airport West,2,u,S,Nelson,13.5,1,1,120.0,Moonee Valley City Council,Western Metropolitan,3464.0,10
Airport West,3,h,PI,Rendina,13.5,1,6,1063.0,Moonee Valley City Council,Western Metropolitan,3464.0,10
Airport West,3,u,VB,Nelson,13.5,1,1,477.89685658153235,Moonee Valley City Council,Western Metropolitan,3464.0,10
Airport West,3,h,S,Nelson,13.5,1,1,0.0,Moonee Valley City Council,Western Metropolitan,3464.0,10
Airport West,3,t,PI,Barry,13.5,1,2,286.9240214888718,Moonee Valley City Council,Western Metropolitan,3464.0,10
Airport West,3,u,S,Nelson,13.5,1,1,265.0,Moonee Valley City Council,Western Metropolitan,3464.0,11
Airport West,3,u,VB,Nelson,13.5,1,1,477.89685658153235,Moonee Valley City Council,Western Metropolitan,3464.0,12
Airport West,3,h,PI,Ray,13.5,1,2,648.7162568807339,Moonee Valley City Council,Western Metropolitan,3464.0,12
Airport West,4,h,S,Jellis,13.5,2,2,648.7162568807339,Moonee Valley City Council,Western Metropolitan,3464.0,8
Airport West,2,u,S,Barry,13.5,1,1,192.0,Moonee Valley City Council,Western Metropolitan,3464.0,8
Airport West,3,h,S,Barry,13.5,1,2,648.7162568807339,Moonee Valley City Council,Western Metropolitan,3464.0,5
Airport West,5,h,PI,Propertyau,13.5,2,2,596.0,Moonee Valley City Council,Western Metropolitan,3464.0,5
Airport West,4,h,S,Barry,13.5,2,2,648.7162568807339,Moonee Valley City Council,Western Metropolitan,3464.0,10
Airport West,3,t,PI,Brad,13.5,2,2,165.0,Moonee Valley City Council,Western Metropolitan,3464.0,10
Airport West,2,u,SP,Nelson,13.5,1,1,477.89685658153235,Moonee Valley City Council,Western Metropolitan,3464.0,10
Airport West,3,h,S,Barry,13.5,1,2,971.0,Moonee Valley City Council,Western Metropolitan,3464.0,4
Airport West,2,u,S,Barry,13.5,1,1,164.0,Moonee Valley City Council,Western Metropolitan,3464.0,7
Airport West,3,h,SP,Barry,13.5,2,2,657.0,Moonee Valley City Council,Western Metropolitan,3464.0,7
Airport West,2,h,S,Barry,13.5,1,1,612.0,Moonee Valley City Council,Western Metropolitan,3464.0,7
Airport West,3,h,S,Nelson,13.5,2,5,612.0,Moonee Valley City Council,Western Metropolitan,3464.0,7
Airport West,3,h,S,McDonald,13.5,1,1,775.0,Moonee Valley City Council,Western Metropolitan,3464.0,9
Airport West,4,h,S,Brad,13.5,3,4,531.0,Moonee Valley City Council,Western Metropolitan,3464.0,9
Airport West,3,h,S,Barry,13.5,1,2,648.7162568807339,Moonee Valley City Council,Western Metropolitan,3464.0,9
Airport West,3,h,PI,Barry,13.5,3,2,555.0,Moonee Valley City Council,Western Metropolitan,3464.0,3
Airport West,3,h,S,Rendina,13.5,2,2,422.0,Moonee Valley City Council,Western Metropolitan,3464.0,3
Airport West,3,h,S,Nelson,13.5,1,3,614.0,Moonee Valley City Council,Western Metropolitan,3464.0,3
Airport West,2,t,VB,Nelson,13.5,1,2,286.9240214888718,Moonee Valley City Council,Western Metropolitan,3464.0,6
Airport West,3,t,SP,Nelson,13.5,2,1,161.0,Moonee Valley City Council,Western Metropolitan,3464.0,6
Airport West,3,t,SP,Barry,13.5,2,1,293.0,Moonee Valley City Council,Western Metropolitan,3464.0,11
Airport West,3,h,S,Barry,13.5,1,1,579.0,Moonee Valley City Council,Western Metropolitan,3464.0,5
Airport West,3,u,S,Brad,13.5,1,1,477.89685658153235,Moonee Valley City Council,Western Metropolitan,3464.0,5
Airport West,3,h,S,Barry,13.5,1,1,623.0,Moonee Valley City Council,Western Metropolitan,3464.0,8
Airport West,2,u,S,Nelson,13.5,1,1,141.0,Moonee Valley City Council,Western Metropolitan,3464.0,8
Airport West,3,h,S,Nelson,13.5,2,1,212.0,Moonee Valley City Council,Western Metropolitan,3464.0,8
Airport West,3,h,S,Brad,13.5,1,2,612.0,Moonee Valley City Council,Western Metropolitan,3464.0,4
Airport West,4,h,S,Nelson,13.5,3,2,532.0,Moonee Valley City Council,Western Metropolitan,3464.0,9
Airport West,3,h,PI,Nelson,13.5,1,1,585.0,Moonee Valley City Council,Western Metropolitan,3464.0,2
Airport West,2,u,PI,Barry,13.5,1,1,477.89685658153235,Moonee Valley City Council,Western Metropolitan,3464.0,7
Airport West,2,t,SP,Frank,13.5,1,2,286.9240214888718,Moonee Valley City Council,Western Metropolitan,3464.0,7
Airport West,3,h,S,Ray,13.5,1,2,648.7162568807339,Moonee Valley City Council,Western Metropolitan,3464.0,6
Airport West,3,t,S,Barry,13.5,1,2,286.9240214888718,Moonee Valley City Council,Western Metropolitan,3464.0,11
Airport West,3,u,S,McDonald,13.5,1,1,477.89685658153235,Moonee Valley City Council,Western Metropolitan,3464.0,11
Airport West,4,h,S,Prof.,13.5,1,2,509.0,Moonee Valley City Council,Western Metropolitan,3464.0,11
Airport West,4,h,S,Harcourts,13.5,2,3,628.0,Moonee Valley City Council,Western Metropolitan,3464.0,11
Airport West,3,u,S,Nelson,13.5,1,1,477.89685658153235,Moonee Valley City Council,Western Metropolitan,3464.0,8
Airport West,3,u,PI,Nelson,13.5,1,1,477.89685658153235,Moonee Valley City Council,Western Metropolitan,3464.0,7
Airport West,3,t,SP,Nelson,13.5,1,2,286.9240214888718,Moonee Valley City Council,Western Metropolitan,3464.0,7
Albert Park,2,h,S,hockingstuart,3.3,1,0,120.0,Port Phillip City Council,Southern Metropolitan,3280.0,3
Albert Park,2,h,S,Thomson,3.3,1,0,159.0,Port Phillip City Council,Southern Metropolitan,3280.0,3
Albert Park,3,h,PI,Buxton,3.3,2,0,211.0,Port Phillip City Council,Southern Metropolitan,3280.0,4
Albert Park,3,h,S,Greg,3.3,2,0,128.0,Port Phillip City Council,Southern Metropolitan,3280.0,4
Albert Park,2,h,S,RT,3.3,1,0,130.0,Port Phillip City Council,Southern Metropolitan,3280.0,4
Albert Park,2,h,S,Marshall,3.3,1,0,147.0,Port Phillip City Council,Southern Metropolitan,3280.0,6
Albert Park,2,h,S,Sotheby's,3.3,1,1,167.0,Port Phillip City Council,Southern Metropolitan,3280.0,7
Albert Park,4,h,S,Marshall,3.3,2,1,153.0,Port Phillip City Council,Southern Metropolitan,3280.0,7
Albert Park,3,t,VB,Marshall,3.3,2,2,718.0,Port Phillip City Council,Southern Metropolitan,3280.0,7
Albert Park,3,h,VB,Greg,3.3,2,1,132.0,Port Phillip City Council,Southern Metropolitan,3280.0,7
Albert Park,3,h,S,Cayzer,3.3,1,2,648.7162568807339,Port Phillip City Council,Southern Metropolitan,3280.0,8
Albert Park,2,h,S,Greg,3.3,1,1,199.0,Port Phillip City Council,Southern Metropolitan,3280.0,10
Albert Park,3,h,VB,Cayzer,3.3,1,1,253.0,Port Phillip City Council,Southern Metropolitan,3280.0,10
Albert Park,3,h,S,Marshall,3.3,2,1,90.0,Port Phillip City Council,Southern Metropolitan,3280.0,10
Albert Park,2,h,PI,Greg,3.3,1,0,240.0,Port Phillip City Council,Southern Metropolitan,3280.0,10
Albert Park,3,h,S,Cayzer,3.3,2,1,177.0,Port Phillip City Council,Southern Metropolitan,3280.0,10
Albert Park,5,h,S,Greg,3.3,2,1,237.0,Port Phillip City Council,Southern Metropolitan,3280.0,10
Albert Park,3,h,S,hockingstuart,3.3,1,0,129.0,Port Phillip City Council,Southern Metropolitan,3280.0,10
Albert Park,3,h,S,Greg,3.3,2,2,0.0,Port Phillip City Council,Southern Metropolitan,3280.0,12
Albert Park,2,h,S,Cayzer,3.3,1,0,288.0,Port Phillip City Council,Southern Metropolitan,3280.0,12
Albert Park,3,h,S,Greg,3.3,2,1,228.0,Port Phillip City Council,Southern Metropolitan,3280.0,10
Albert Park,2,h,S,Greg,3.3,1,0,149.0,Port Phillip City Council,Southern Metropolitan,3280.0,10
Albert Park,2,h,S,Greg,3.3,1,0,141.0,Port Phillip City Council,Southern Metropolitan,3280.0,10
Albert Park,3,h,VB,RT,3.3,2,1,211.0,Port Phillip City Council,Southern Metropolitan,3280.0,4
Albert Park,3,h,S,Greg,3.3,1,0,209.0,Port Phillip City Council,Southern Metropolitan,3280.0,3
Albert Park,3,h,S,Greg,3.3,2,0,147.0,Port Phillip City Council,Southern Metropolitan,3280.0,3
Albert Park,4,h,VB,Cayzer,3.3,3,1,327.0,Port Phillip City Council,Southern Metropolitan,3280.0,6
Albert Park,2,u,S,Greg,3.3,1,1,0.0,Port Phillip City Council,Southern Metropolitan,3280.0,5
Albert Park,3,h,SP,Marshall,3.3,1,1,120.0,Port Phillip City Council,Southern Metropolitan,3280.0,4
Albert Park,3,h,PI,Marshall,3.3,1,1,238.0,Port Phillip City Council,Southern Metropolitan,3280.0,9
Albert Park,1,u,S,Marshall,3.3,1,0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0,2
Albert Park,4,h,S,Marshall,3.3,2,1,330.0,Port Phillip City Council,Southern Metropolitan,3280.0,2
Albert Park,2,h,S,Greg,3.3,1,0,136.0,Port Phillip City Council,Southern Metropolitan,3280.0,2
Albert Park,3,h,S,hockingstuart,3.3,1,1,202.0,Port Phillip City Council,Southern Metropolitan,3280.0,2
Albert Park,3,h,S,Chisholm,3.3,3,1,0.0,Port Phillip City Council,Southern Metropolitan,3280.0,7
Albert Park,3,h,S,Greg,3.3,2,2,325.0,Port Phillip City Council,Southern Metropolitan,3280.0,7
Albert Park,4,h,S,Greg,3.3,2,1,183.0,Port Phillip City Council,Southern Metropolitan,3280.0,6
Albert Park,2,u,PI,Marshall,3.3,1,1,477.89685658153235,Port Phillip City Council,Southern Metropolitan,3280.0,6
Albert Park,2,h,S,Marshall,3.3,1,1,162.0,Port Phillip City Council,Southern Metropolitan,3280.0,11
Albert Park,2,h,S,Greg,3.3,1,0,79.0,Port Phillip City Council,Southern Metropolitan,3280.0,5
Albert Park,3,h,S,hockingstuart,3.3,2,0,152.0,Port Phillip City Council,Southern Metropolitan,3280.0,8
Albert Park,3,h,PI,Marshall,3.3,2,2,147.0,Port Phillip City Council,Southern Metropolitan,3280.0,8
Albert Park,3,h,VB,Buxton,3.3,3,1,0.0,Port Phillip City Council,Southern Metropolitan,3280.0,7
Albert Park,1,h,S,Marshall,3.3,1,0,81.0,Port Phillip City Council,Southern Metropolitan,3280.0,7
Alphington,4,h,S,Brace,6.4,2,4,853.0,Darebin City Council,Northern Metropolitan,2211.0,3
Alphington,3,h,S,Jellis,6.4,2,2,208.0,Darebin City Council,Northern Metropolitan,2211.0,3
Alphington,3,h,S,Jellis,6.4,2,2,411.0,Darebin City Council,Northern Metropolitan,2211.0,4
Alphington,2,u,PI,Miles,6.4,1,1,477.89685658153235,Darebin City Council,Northern Metropolitan,2211.0,7
Alphington,3,t,SP,Holland,6.4,1,2,286.9240214888718,Darebin City Council,Northern Metropolitan,2211.0,8
Alphington,4,h,S,Collins,6.4,2,1,599.0,Darebin City Council,Northern Metropolitan,2211.0,8
Alphington,5,h,S,Nelson,6.4,4,4,809.0,Darebin City Council,Northern Metropolitan,2211.0,12
Alphington,2,u,S,Miles,6.4,1,1,88.0,Darebin City Council,Northern Metropolitan,2211.0,12
Alphington,2,t,S,Miles,6.4,2,3,155.0,Darebin City Council,Northern Metropolitan,2211.0,12
Alphington,2,u,S,McGrath,6.4,1,1,0.0,Darebin City Council,Northern Metropolitan,2211.0,12
Alphington,3,h,S,Nelson,6.4,1,2,648.7162568807339,Darebin City Council,Northern Metropolitan,2211.0,8
Alphington,3,h,PI,hockingstuart,6.4,3,2,686.0,Darebin City Council,Northern Metropolitan,2211.0,10
Alphington,3,h,S,Nelson,6.4,1,2,592.0,Darebin City Council,Northern Metropolitan,2211.0,4
Alphington,2,u,PI,Nelson,6.4,1,1,477.89685658153235,Darebin City Council,Northern Metropolitan,2211.0,9
Alphington,2,u,S,Nelson,6.4,1,1,183.0,Darebin City Council,Northern Metropolitan,2211.0,3
Alphington,4,h,S,Nelson,6.4,2,2,606.0,Darebin City Council,Northern Metropolitan,2211.0,11
Alphington,4,h,S,Nelson,6.4,2,2,575.0,Darebin City Council,Northern Metropolitan,2211.0,11
Alphington,3,h,SP,hockingstuart,6.4,1,1,180.0,Darebin City Council,Northern Metropolitan,2211.0,5
Alphington,2,u,VB,Nelson,6.4,1,1,0.0,Darebin City Council,Northern Metropolitan,2211.0,5
Alphington,2,t,SP,Brace,6.4,1,0,0.0,Darebin City Council,Northern Metropolitan,2211.0,9
Alphington,2,u,S,Love,6.4,1,1,0.0,Darebin City Council,Northern Metropolitan,2211.0,2
Alphington,3,h,S,Collins,6.4,1,2,648.7162568807339,Darebin City Council,Northern Metropolitan,2211.0,2
Alphington,3,h,S,Jellis,6.4,1,2,648.7162568807339,Darebin City Council,Northern Metropolitan,2211.0,7
Alphington,3,h,VB,Thomas,6.4,1,2,648.7162568807339,Darebin City Council,Northern Metropolitan,2211.0,6
Alphington,3,h,S,Barry,6.4,1,2,979.0,Darebin City Council,Northern Metropolitan,2211.0,6
Alphington,2,u,S,Jellis,6.4,1,1,477.89685658153235,Darebin City Council,Northern Metropolitan,2211.0,11
Alphington,4,h,SP,McGrath,6.4,2,2,556.0,Darebin City Council,Northern Metropolitan,2211.0,11
Alphington,3,h,SP,McGrath,6.4,0,0,597.0,Darebin City Council,Northern Metropolitan,2211.0,8
Alphington,4,h,S,Jellis,6.4,2,3,589.0,Darebin City Council,Northern Metropolitan,2211.0,7
Altona,3,h,VB,Greg,13.8,2,1,352.0,Hobsons Bay City Council,Western Metropolitan,5301.0,3
Altona,5,h,S,Greg,13.8,3,3,729.0,Hobsons Bay City Council,Western Metropolitan,5301.0,3
Altona,2,t,S,hockingstuart,13.8,1,2,292.0,Hobsons Bay City Council,Western Metropolitan,5301.0,4
Altona,3,h,S,Barlow,13.8,1,2,506.0,Hobsons Bay City Council,Western Metropolitan,5301.0,4
Altona,4,h,PI,Sweeney,13.8,1,4,655.0,Hobsons Bay City Council,Western Metropolitan,5301.0,4
Altona,4,h,SP,Greg,13.8,3,6,1057.0,Hobsons Bay City Council,Western Metropolitan,5301.0,4
Altona,3,u,S,Barlow,13.8,1,2,311.0,Hobsons Bay City Council,Western Metropolitan,5301.0,6
Altona,2,u,SP,hockingstuart,13.8,1,1,65.0,Hobsons Bay City Council,Western Metropolitan,5301.0,6
Altona,3,h,VB,Greg,13.8,1,1,602.0,Hobsons Bay City Council,Western Metropolitan,5301.0,7
Altona,3,h,S,Greg,13.8,1,1,530.0,Hobsons Bay City Council,Western Metropolitan,5301.0,7
Altona,2,u,VB,hockingstuart,13.8,1,1,477.89685658153235,Hobsons Bay City Council,Western Metropolitan,5301.0,8
Altona,2,u,S,Barlow,13.8,1,1,225.0,Hobsons Bay City Council,Western Metropolitan,5301.0,8
Altona,3,h,S,hockingstuart,13.8,1,4,777.0,Hobsons Bay City Council,Western Metropolitan,5301.0,8
Altona,3,t,SP,hockingstuart,13.8,2,2,280.0,Hobsons Bay City Council,Western Metropolitan,5301.0,8
Altona,2,u,S,Village,13.8,1,1,127.0,Hobsons Bay City Council,Western Metropolitan,5301.0,10
Altona,4,h,S,Barlow,13.8,2,2,695.0,Hobsons Bay City Council,Western Metropolitan,5301.0,10
Altona,2,u,S,hockingstuart,13.8,1,2,115.0,Hobsons Bay City Council,Western Metropolitan,5301.0,10
Altona,3,u,S,Jas,13.8,2,2,230.0,Hobsons Bay City Council,Western Metropolitan,5301.0,10
Altona,3,t,S,hockingstuart,13.8,2,2,197.0,Hobsons Bay City Council,Western Metropolitan,5301.0,11
Altona,2,u,SP,Greg,13.8,1,1,0.0,Hobsons Bay City Council,Western Metropolitan,5301.0,11
Altona,2,u,SP,hockingstuart,13.8,1,1,0.0,Hobsons Bay City Council,Western Metropolitan,5301.0,11
Altona,4,h,S,hockingstuart,13.8,1,2,745.0,Hobsons Bay City Council,Western Metropolitan,5301.0,11
Altona,3,h,S,Williams,13.8,1,2,648.7162568807339,Hobsons Bay City Council,Western Metropolitan,5301.0,11
Altona,3,t,SP,Gunn&Co,13.8,2,2,211.0,Hobsons Bay City Council,Western Metropolitan,5301.0,12
Altona,3,t,SP,Williams,13.8,1,2,286.9240214888718,Hobsons Bay City Council,Western Metropolitan,5301.0,12
Altona,3,u,SP,Barlow,13.8,2,1,69.0,Hobsons Bay City Council,Western Metropolitan,5301.0,8
Altona,3,t,S,hockingstuart,13.8,1,2,286.9240214888718,Hobsons Bay City Council,Western Metropolitan,5301.0,8
Altona,3,h,S,Sweeney,13.8,1,4,625.0,Hobsons Bay City Council,Western Metropolitan,5301.0,5
Altona,2,u,SP,hockingstuart,13.8,1,1,168.0,Hobsons Bay City Council,Western Metropolitan,5301.0,5
Altona,2,u,S,Burnham,13.8,1,1,137.0,Hobsons Bay City Council,Western Metropolitan,5301.0,10
Altona,3,u,SP,Barlow,13.8,2,1,70.0,Hobsons Bay City Council,Western Metropolitan,5301.0,4
Altona,3,h,S,hockingstuart,13.8,1,2,606.0,Hobsons Bay City Council,Western Metropolitan,5301.0,4
Altona,2,u,PI,Biggin,13.8,2,1,175.0,Hobsons Bay City Council,Western Metropolitan,5301.0,7
Altona,3,h,S,hockingstuart,13.8,1,2,363.0,Hobsons Bay City Council,Western Metropolitan,5301.0,9
Altona,3,h,SP,Greg,13.8,2,2,534.0,Hobsons Bay City Council,Western Metropolitan,5301.0,3
Altona,3,h,S,Barlow,13.8,1,2,724.0,Hobsons Bay City Council,Western Metropolitan,5301.0,11
Altona,4,h,S,Barlow,13.8,2,2,648.7162568807339,Hobsons Bay City Council,Western Metropolitan,5301.0,11
Altona,3,t,S,hockingstuart,13.8,2,0,265.0,Hobsons Bay City Council,Western Metropolitan,5301.0,5
Altona,3,h,PI,Barlow,13.8,3,1,577.0,Hobsons Bay City Council,Western Metropolitan,5301.0,8
Altona,3,u,S,Williams,13.8,2,1,205.0,Hobsons Bay City Council,Western Metropolitan,5301.0,4
Altona,4,h,S,Barlow,13.8,1,0,797.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2
Altona,3,u,S,Barlow,13.8,1,2,181.0,Hobsons Bay City Council,Western Metropolitan,5301.0,2
Altona,3,h,S,Barlow,13.8,1,2,648.7162568807339,Hobsons Bay City Council,Western Metropolitan,5301.0,2
Altona,3,h,S,Barlow,13.8,2,2,529.0,Hobsons Bay City Council,Western Metropolitan,5301.0,6
Altona,2,h,SP,hockingstuart,13.8,2,1,675.0,Hobsons Bay City Council,Western Metropolitan,5301.0,11
Altona,3,h,S,Barlow,13.8,1,1,929.0,Hobsons Bay City Council,Western Metropolitan,5301.0,5
Altona,3,u,SP,Barlow,13.8,2,1,70.0,Hobsons Bay City Council,Western Metropolitan,5301.0,5
Altona,3,h,S,Sweeney,13.8,1,4,697.0,Hobsons Bay City Council,Western Metropolitan,5301.0,5
Altona,3,h,S,Greg,13.8,1,2,604.0,Hobsons Bay City Council,Western Metropolitan,5301.0,8
Altona,4,h,S,Sweeney,13.8,2,3,532.0,Hobsons Bay City Council,Western Metropolitan,5301.0,8
Altona,2,h,SP,Compton,13.8,1,1,154.0,Hobsons Bay City Council,Western Metropolitan,5301.0,7
Altona North,5,h,S,FN,11.1,3,6,592.0,Hobsons Bay City Council,Western Metropolitan,5132.0,3
Altona North,3,h,S,Jas,11.1,1,2,533.0,Hobsons Bay City Council,Western Metropolitan,5132.0,3
Altona North,4,h,S,hockingstuart,11.1,2,2,648.7162568807339,Hobsons Bay City Council,Western Metropolitan,5132.0,3
Altona North,4,h,S,Sweeney,11.1,2,2,648.7162568807339,Hobsons Bay City Council,Western Metropolitan,5132.0,4
Altona North,3,h,SP,Jas,11.1,1,3,554.0,Hobsons Bay City Council,Western Metropolitan,5132.0,4
Altona North,2,t,S,hockingstuart,11.1,1,1,77.0,Hobsons Bay City Council,Western Metropolitan,5132.0,4
