Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bathroom,Car,Landsize,CouncilArea,Regionname,Propertycount
Abbotsford,1,u,457000.0,S,Jellis,22/08/2016,2.5,3067.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1135000.0,S,Nelson,22/08/2016,2.5,3067.0,2.0,2.0,98.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,700000.0,S,Biggin,23/04/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,4,h,1542000.0,S,Collins,24/09/2016,2.5,3067.0,3.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,t,962000.0,SP,Jellis,25/02/2017,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,2.0,2.0,147.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,1290000.0,S,Biggin,25/02/2017,2.5,3067.0,1.0,1.0,168.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,1,u,470000.0,S,Nelson,26/07/2016,2.5,3067.0,1.0,1.0,0.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1180000.0,S,Jellis,27/11/2016,2.5,3067.0,1.0,0.0,162.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,1195000.0,SP,Jellis,27/11/2016,2.5,3067.0,2.0,1.0,120.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,u,,PI,Biggin,28/05/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1012500.0,S,Nelson,28/05/2016,2.5,3067.0,1.0,0.0,182.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,u,970000.0,SP,Biggin,28/05/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,2,h,1030000.0,S,Biggin,30/07/2016,2.5,3067.0,1.0,1.0,172.0,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,4,h,,W,Biggin,30/07/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Abbotsford,3,h,927000.0,S,Biggin,30/07/2016,2.5,3067.0,,,,Yarra City Council,Northern Metropolitan,4019.0
Airport West,3,t,840000.0,PI,Nelson,3/09/2016,13.5,3042.0,2.0,1.0,303.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,730000.0,VB,Nelson,3/12/2016,13.5,3042.0,2.0,1.0,0.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,770000.0,SP,Nelson,4/03/2017,13.5,3042.0,2.0,1.0,0.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,,S,Brad,4/03/2017,13.5,3042.0,1.0,1.0,580.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,h,603000.0,S,Nelson,4/03/2017,13.5,3042.0,1.0,1.0,272.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,t,700000.0,S,Brad,4/03/2017,13.5,3042.0,2.0,2.0,239.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,600000.0,S,Maddison,4/03/2017,13.5,3042.0,1.0,1.0,290.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,u,500000.0,VB,Barry,4/03/2017,13.5,3042.0,1.0,1.0,168.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,t,420000.0,VB,Barry,4/06/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,t,500000.0,VB,Nelson,4/06/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,5,h,1035000.0,S,Airport,6/08/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4,h,960000.0,S,Barry,6/08/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4,h,960000.0,S,Nelson,6/08/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,720000.0,S,Barry,6/08/2016,13.5,3042.0,1.0,1.0,620.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4,h,785000.0,S,Considine,6/08/2016,13.5,3042.0,1.0,2.0,597.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,6,h,725000.0,SP,Barry,7/05/2016,13.5,3042.0,3.0,2.0,976.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,t,450000.0,S,Barry,7/05/2016,13.5,3042.0,1.0,1.0,110.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,u,515000.0,S,Barry,7/11/2016,13.5,3042.0,1.0,1.0,141.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,680000.0,VB,Nelson,8/10/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,u,530000.0,S,Nelson,10/09/2016,13.5,3042.0,1.0,1.0,120.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,895000.0,PI,Rendina,10/09/2016,13.5,3042.0,1.0,6.0,1063.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,u,600000.0,VB,Nelson,10/09/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,805000.0,S,Nelson,10/12/2016,13.5,3042.0,1.0,1.0,0.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,t,760000.0,PI,Barry,10/12/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,u,752000.0,S,Nelson,11/02/2017,13.5,3042.0,1.0,1.0,265.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,u,580000.0,VB,Nelson,12/11/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,725000.0,PI,Ray,12/11/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4,h,758000.0,S,Jellis,13/08/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,u,440000.0,S,Barry,13/08/2016,13.5,3042.0,1.0,1.0,192.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,970000.0,S,Barry,14/05/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,5,h,755000.0,PI,Propertyau,14/05/2016,13.5,3042.0,2.0,2.0,596.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4,h,985000.0,S,Barry,15/10/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,t,700000.0,PI,Brad,15/10/2016,13.5,3042.0,2.0,2.0,165.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,u,509500.0,SP,Nelson,15/10/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,830000.0,S,Barry,16/04/2016,13.5,3042.0,1.0,2.0,971.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,u,462500.0,S,Barry,16/07/2016,13.5,3042.0,1.0,1.0,164.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,670000.0,SP,Barry,16/07/2016,13.5,3042.0,2.0,2.0,657.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,h,675000.0,S,Barry,16/07/2016,13.5,3042.0,1.0,1.0,612.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,1042000.0,S,Nelson,16/07/2016,13.5,3042.0,2.0,5.0,612.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,910000.0,S,McDonald,17/09/2016,13.5,3042.0,1.0,1.0,775.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4,h,773000.0,S,Brad,17/09/2016,13.5,3042.0,3.0,4.0,531.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,715000.0,S,Barry,17/09/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,810000.0,PI,Barry,18/03/2017,13.5,3042.0,3.0,2.0,555.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,715000.0,S,Rendina,18/03/2017,13.5,3042.0,2.0,2.0,422.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,790000.0,S,Nelson,18/03/2017,13.5,3042.0,1.0,3.0,614.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,t,460000.0,VB,Nelson,18/06/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,t,540000.0,SP,Nelson,18/06/2016,13.5,3042.0,2.0,1.0,161.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,t,825000.0,SP,Barry,19/11/2016,13.5,3042.0,2.0,1.0,293.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,685000.0,S,Barry,22/05/2016,13.5,3042.0,1.0,1.0,579.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,u,445000.0,S,Brad,22/05/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,805000.0,S,Barry,22/08/2016,13.5,3042.0,1.0,1.0,623.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,u,510000.0,S,Nelson,22/08/2016,13.5,3042.0,1.0,1.0,141.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,612000.0,S,Nelson,22/08/2016,13.5,3042.0,2.0,1.0,212.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,662000.0,S,Brad,23/04/2016,13.5,3042.0,1.0,2.0,612.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4,h,978000.0,S,Nelson,24/09/2016,13.5,3042.0,3.0,2.0,532.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,u,,VB,Barry,25/02/2017,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,720000.0,PI,Nelson,25/02/2017,13.5,3042.0,1.0,1.0,585.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,u,474000.0,PI,Barry,26/07/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,2,t,490000.0,SP,Frank,26/07/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,h,405000.0,S,Ray,27/06/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,t,715000.0,S,Barry,27/11/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,u,671500.0,S,McDonald,27/11/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4,h,765000.0,S,Prof.,27/11/2016,13.5,3042.0,1.0,2.0,509.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,4,h,900000.0,S,Harcourts,27/11/2016,13.5,3042.0,2.0,3.0,628.0,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,u,820000.0,S,Nelson,28/08/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,u,650000.0,PI,Nelson,30/07/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Airport West,3,t,552000.0,SP,Nelson,30/07/2016,13.5,3042.0,,,,Moonee Valley City Council,Western Metropolitan,3464.0
Albert Park,2,h,1275000.0,S,hockingstuart,3/09/2016,3.3,3206.0,1.0,0.0,120.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,1455000.0,S,Thomson,3/09/2016,3.3,3206.0,1.0,0.0,159.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,2850000.0,PI,Buxton,4/03/2017,3.3,3206.0,2.0,0.0,211.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,1850000.0,S,Greg,4/03/2017,3.3,3206.0,2.0,0.0,128.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,,SP,Marshall,4/03/2017,3.3,3206.0,1.0,0.0,215.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,1436000.0,S,RT,4/03/2017,3.3,3206.0,1.0,0.0,130.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,,SN,Greg,6/08/2016,3.3,3206.0,2.0,1.0,336.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,1110000.0,S,Marshall,6/08/2016,3.3,3206.0,1.0,0.0,147.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,1550000.0,S,Sotheby's,7/05/2016,3.3,3206.0,1.0,1.0,167.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,4,h,2300000.0,S,Marshall,7/05/2016,3.3,3206.0,2.0,1.0,153.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,,S,Marshall,7/05/2016,3.3,3206.0,1.0,2.0,316.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,t,1550000.0,VB,Marshall,7/11/2016,3.3,3206.0,2.0,2.0,718.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,1800000.0,VB,Greg,7/11/2016,3.3,3206.0,2.0,1.0,132.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,2485000.0,S,Cayzer,8/10/2016,3.3,3206.0,,,,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,2120000.0,S,Greg,10/09/2016,3.3,3206.0,1.0,1.0,199.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,1800000.0,VB,Cayzer,10/09/2016,3.3,3206.0,1.0,1.0,253.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,1800000.0,S,Marshall,10/09/2016,3.3,3206.0,2.0,1.0,90.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,,SN,Marshall,10/09/2016,3.3,3206.0,1.0,0.0,126.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,1810000.0,PI,Greg,10/12/2016,3.3,3206.0,1.0,0.0,240.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,2615000.0,S,Cayzer,10/12/2016,3.3,3206.0,2.0,1.0,177.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,5,h,2100000.0,S,Greg,10/12/2016,3.3,3206.0,2.0,1.0,237.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,1300000.0,S,hockingstuart,10/12/2016,3.3,3206.0,1.0,0.0,129.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,1370000.0,S,Greg,12/06/2016,3.3,3206.0,2.0,2.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,1000000.0,S,Cayzer,12/11/2016,3.3,3206.0,1.0,0.0,288.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,,SP,Marshall,13/08/2016,3.3,3206.0,1.0,2.0,366.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,2575000.0,S,Greg,15/10/2016,3.3,3206.0,2.0,1.0,228.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,1322500.0,S,Greg,15/10/2016,3.3,3206.0,1.0,0.0,149.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,,S,hockingstuart,15/10/2016,3.3,3206.0,1.0,1.0,152.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,1562500.0,S,Greg,15/10/2016,3.3,3206.0,1.0,0.0,141.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,2000000.0,VB,RT,16/04/2016,3.3,3206.0,2.0,1.0,211.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,4,h,,S,Marshall,17/09/2016,3.3,3206.0,1.0,0.0,236.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,,S,Marshall,18/03/2017,3.3,3206.0,1.0,2.0,300.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,1900000.0,S,Greg,18/03/2017,3.3,3206.0,1.0,0.0,209.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,3010000.0,S,Greg,18/03/2017,3.3,3206.0,2.0,0.0,147.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,,SP,Marshall,18/06/2016,3.3,3206.0,1.0,0.0,173.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,4,h,2800000.0,VB,Cayzer,18/06/2016,3.3,3206.0,3.0,1.0,327.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,,SN,Cayzer,19/11/2016,3.3,3206.0,1.0,0.0,169.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,u,647000.0,S,Greg,22/05/2016,3.3,3206.0,1.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,,SP,Marshall,22/05/2016,3.3,3206.0,2.0,1.0,122.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,2100000.0,SP,Marshall,23/04/2016,3.3,3206.0,1.0,1.0,120.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,,S,Greg,24/09/2016,3.3,3206.0,2.0,1.0,241.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,,PI,Marshall,24/09/2016,3.3,3206.0,2.0,1.0,225.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,7,h,,SN,hockingstuart,24/09/2016,3.3,3206.0,7.0,0.0,435.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,2000000.0,PI,Marshall,24/09/2016,3.3,3206.0,1.0,1.0,238.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,1,u,442500.0,S,Marshall,25/02/2017,3.3,3206.0,1.0,0.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,4,h,4735000.0,S,Marshall,25/02/2017,3.3,3206.0,2.0,1.0,330.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,1340000.0,S,Greg,25/02/2017,3.3,3206.0,1.0,0.0,136.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,1801000.0,S,hockingstuart,25/02/2017,3.3,3206.0,1.0,1.0,202.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,1532000.0,S,Chisholm,26/07/2016,3.3,3206.0,3.0,1.0,0.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,3755000.0,S,Greg,26/07/2016,3.3,3206.0,2.0,2.0,325.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,4,h,2140000.0,S,Greg,27/06/2016,3.3,3206.0,2.0,1.0,183.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,u,1810000.0,PI,Marshall,27/06/2016,3.3,3206.0,,,,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,1750000.0,S,Marshall,27/11/2016,3.3,3206.0,1.0,1.0,162.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,980000.0,S,Greg,28/05/2016,3.3,3206.0,1.0,0.0,79.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,2,h,,SP,Marshall,28/05/2016,3.3,3206.0,1.0,0.0,99.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,4,h,,SP,Marshall,28/05/2016,3.3,3206.0,2.0,0.0,230.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,,SN,Greg,28/05/2016,3.3,3206.0,2.0,1.0,141.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,2030000.0,S,hockingstuart,28/08/2016,3.3,3206.0,2.0,0.0,152.0,Port Phillip City Council,Southern Metropolitan,3280.0
Albert Park,3,h,1740000.0,PI,Marshall,28/08/2016,3.3,3206.0,2.0,2.0,147.0,Port Phillip City Council,Southern Metropolitan,3280.0
